##w800,cs800,w3500,cs3500
201000000000.00027,5.2017983459448625e+38,95099999999.99997,2.213070721708796e+38
289515634214.02673,7.495727759888183e+38,129274792772.5476,3.007620877642042e+38
417011454996.76624,1.0808217263369223e+39,175730515734.86017,4.087085171576986e+38
600653412278.1228,1.5605465991329525e+39,238880399636.5612,5.5533400469346476e+38
865166933325.9725,2.2591019371576118e+39,324723597901.5753,7.544455318830129e+38
1246165937327.727,3.2857160223866697e+39,441415098076.5745,1.024737293046862e+39
1794947869061.4602,4.8133269735727667e+39,600040434600.6646,1.3914926615471982e+39
2585400351703.7,7.108216047094822e+39,815668799559.9406,1.8888811938390602e+39
3723949365774.446,1.053026129467604e+40,1108784595522.019,2.5630628988576763e+39
5363888370214.477,1.5442658087201015e+40,1507233426030.516,3.4765895599196724e+39
7726017628636.24,2.2095968532771435e+40,2048867390220.3237,4.714244305075639e+39
11128372605489.396,3.071441747731422e+40,2785140980958.6,6.399922258645594e+39
16029044043026.232,4.441338741501534e+40,3785999191963.755,8.680753068732824e+39
23087854984882.09,6.485526151861077e+40,5146522197456.879,1.1755150057342317e+40
33255198898455.76,8.983841702777454e+40,6995957839911.194,1.6353761803853683e+40
47900000000000.05,1.2202554249637853e+41,9509999999999.998,2.2781990631987197e+40
